anio;sem;cod_alumno;cod_asig;nota
2021;1;E-14321;201;5.9
2021;1;E-14321;202;4.4
2021;1;E-14321;203;5.3
2021;1;E-14321;204;3
2021;1;E-14321;205;6.9
2021;2;E-14321;206;3.7
2021;2;E-14321;207;4.9
2021;2;E-14321;208;4.8
2021;2;E-14321;209;5.3
2021;2;E-14321;210;7
2021;2;E-14321;211;5.2
2022;1;E-14321;212;6.3
2022;1;E-14321;213;6.7
2022;1;E-14321;214;6.1
2022;1;E-14321;215;3.1
2022;1;E-14321;216;4.1
2022;1;E-14321;217;3.7
2022;2;E-14321;218;4.6
2022;2;E-14321;219;4
2022;2;E-14321;220;5.3
2022;2;E-14321;221;5.4
2022;2;E-14321;222;4.5
2022;2;E-14321;223;6.1
2023;1;E-14321;224;6.5
2023;1;E-14321;225;4.2
2023;1;E-14321;226;5.8
2023;1;E-14321;227;5.8
2023;1;E-14321;228;5.9
2023;1;E-14321;229;3.8
2023;2;E-14321;230;6.9
2023;2;E-14321;231;3.8
2023;2;E-14321;232;4.4
2023;2;E-14321;233;3.6
2023;2;E-14321;234;6.5
2023;2;E-14321;235;4.7
2021;1;E-14322;201;3.6
2021;1;E-14322;202;5.1
2021;1;E-14322;203;5.7
2021;1;E-14322;204;5.1
2021;1;E-14322;205;5
2021;2;E-14322;206;6.1
2021;2;E-14322;207;4.1
2021;2;E-14322;208;7
2021;2;E-14322;209;5.9
2021;2;E-14322;210;5.1
2021;2;E-14322;211;3.6
2022;1;E-14322;212;4
2022;1;E-14322;213;4.4
2022;1;E-14322;214;5.5
2022;1;E-14322;215;3
2022;1;E-14322;216;4.9
2022;1;E-14322;217;5.9
2022;2;E-14322;218;6
2022;2;E-14322;219;3.6
2022;2;E-14322;220;5.5
2022;2;E-14322;221;5.5
2022;2;E-14322;222;3.1
2022;2;E-14322;223;5.3
2023;1;E-14322;224;6.6
2023;1;E-14322;225;4.7
2023;1;E-14322;226;6.9
2023;1;E-14322;227;7
2023;1;E-14322;228;3.8
2023;1;E-14322;229;4
2023;2;E-14322;230;5.9
2023;2;E-14322;231;4.1
2023;2;E-14322;232;6.7
2023;2;E-14322;233;5.2
2023;2;E-14322;234;5.1
2023;2;E-14322;235;3.3
2021;1;E-14323;201;3.9
2021;1;E-14323;202;6.4
2021;1;E-14323;203;4.4
2021;1;E-14323;204;5.9
2021;1;E-14323;205;3.6
2021;2;E-14323;206;6
2021;2;E-14323;207;6.7
2021;2;E-14323;208;4.5
2021;2;E-14323;209;4.2
2021;2;E-14323;210;3.9
2021;2;E-14323;211;6.6
2022;1;E-14323;212;4.5
2022;1;E-14323;213;5.7
2022;1;E-14323;214;3.6
2022;1;E-14323;215;4.3
2022;1;E-14323;216;6.8
2022;1;E-14323;217;5.9
2022;2;E-14323;218;6.8
2022;2;E-14323;219;4.2
2022;2;E-14323;220;3.1
2022;2;E-14323;221;5.6
2022;2;E-14323;222;6.2
2022;2;E-14323;223;3
2023;1;E-14323;224;4.8
2023;1;E-14323;225;3.3
2023;1;E-14323;226;5.9
2023;1;E-14323;227;6.4
2023;1;E-14323;228;4.2
2023;1;E-14323;229;6.1
2023;2;E-14323;230;4
2023;2;E-14323;231;6.6
2023;2;E-14323;232;5.4
2023;2;E-14323;233;6
2023;2;E-14323;234;3.1
2023;2;E-14323;235;5.8
2021;1;E-14324;201;3.5
2021;1;E-14324;202;5.6
2021;1;E-14324;203;6.8
2021;1;E-14324;204;3.3
2021;1;E-14324;205;5.6
2021;2;E-14324;206;4.3
2021;2;E-14324;207;4.8
2021;2;E-14324;208;4.7
2021;2;E-14324;209;4.1
2021;2;E-14324;210;5.1
2021;2;E-14324;211;6.5
2022;1;E-14324;212;3.9
2022;1;E-14324;213;3.1
2022;1;E-14324;214;3.8
2022;1;E-14324;215;4.5
2022;1;E-14324;216;5.2
2022;1;E-14324;217;6.4
2022;2;E-14324;218;5.4
2022;2;E-14324;219;6.4
2022;2;E-14324;220;3.9
2022;2;E-14324;221;5.6
2022;2;E-14324;222;3.1
2022;2;E-14324;223;4.3
2023;1;E-14324;224;6.5
2023;1;E-14324;225;6.1
2023;1;E-14324;226;5.3
2023;1;E-14324;227;4.1
2023;1;E-14324;228;5.2
2023;1;E-14324;229;5.2
2023;2;E-14324;230;3.9
2023;2;E-14324;231;5.2
2023;2;E-14324;232;3.8
2023;2;E-14324;233;4.1
2023;2;E-14324;234;3.7
2023;2;E-14324;235;4.5
2021;1;E-14325;201;6.3
2021;1;E-14325;202;4.3
2021;1;E-14325;203;4.9
2021;1;E-14325;204;5.1
2021;1;E-14325;205;5.4
2021;2;E-14325;206;5
2021;2;E-14325;207;5.8
2021;2;E-14325;208;6.8
2021;2;E-14325;209;4.4
2021;2;E-14325;210;5.7
2021;2;E-14325;211;3.8
2022;1;E-14325;212;4.6
2022;1;E-14325;213;3.7
2022;1;E-14325;214;6.2
2022;1;E-14325;215;4.5
2022;1;E-14325;216;5.6
2022;1;E-14325;217;5
2022;2;E-14325;218;6.5
2022;2;E-14325;219;3.7
2022;2;E-14325;220;5.1
2022;2;E-14325;221;4.1
2022;2;E-14325;222;4.7
2022;2;E-14325;223;3
2023;1;E-14325;224;5.6
2023;1;E-14325;225;4.5
2023;1;E-14325;226;3.9
2023;1;E-14325;227;6.3
2023;1;E-14325;228;6.9
2023;1;E-14325;229;4.1
2023;2;E-14325;230;6.9
2023;2;E-14325;231;4.5
2023;2;E-14325;232;3.2
2023;2;E-14325;233;3.5
2023;2;E-14325;234;5.6
2023;2;E-14325;235;6.6
2021;1;E-14326;201;3.1
2021;1;E-14326;202;6.3
2021;1;E-14326;203;6.2
2021;1;E-14326;204;6.3
2021;1;E-14326;205;4.5
2021;2;E-14326;206;5.4
2021;2;E-14326;207;3.7
2021;2;E-14326;208;6.7
2021;2;E-14326;209;5.4
2021;2;E-14326;210;5.2
2021;2;E-14326;211;5.7
2022;1;E-14326;212;5.6
2022;1;E-14326;213;3.7
2022;1;E-14326;214;6.1
2022;1;E-14326;215;4.5
2022;1;E-14326;216;5.7
2022;1;E-14326;217;6.7
2022;2;E-14326;218;4.7
2022;2;E-14326;219;3.4
2022;2;E-14326;220;5.9
2022;2;E-14326;221;4.6
2022;2;E-14326;222;4.1
2022;2;E-14326;223;6.5
2023;1;E-14326;224;5.7
2023;1;E-14326;225;6.3
2023;1;E-14326;226;4.3
2023;1;E-14326;227;6.9
2023;1;E-14326;228;6.6
2023;1;E-14326;229;6.9
2023;2;E-14326;230;6.4
2023;2;E-14326;231;6.7
2023;2;E-14326;232;6.1
2023;2;E-14326;233;4.7
2023;2;E-14326;234;5
2023;2;E-14326;235;3
2021;1;E-14327;201;5.2
2021;1;E-14327;202;3.9
2021;1;E-14327;203;6.5
2021;1;E-14327;204;6.3
2021;1;E-14327;205;5
2021;2;E-14327;206;5
2021;2;E-14327;207;3.5
2021;2;E-14327;208;3.9
2021;2;E-14327;209;3.3
2021;2;E-14327;210;5.1
2021;2;E-14327;211;6.7
2022;1;E-14327;212;4.8
2022;1;E-14327;213;5.8
2022;1;E-14327;214;7
2022;1;E-14327;215;6
2022;1;E-14327;216;5.1
2022;1;E-14327;217;4.6
2022;2;E-14327;218;5.4
2022;2;E-14327;219;3.7
2022;2;E-14327;220;6.2
2022;2;E-14327;221;6.9
2022;2;E-14327;222;5.6
2022;2;E-14327;223;6.1
2023;1;E-14327;224;3.2
2023;1;E-14327;225;4.6
2023;1;E-14327;226;3.8
2023;1;E-14327;227;6.7
2023;1;E-14327;228;4.6
2023;1;E-14327;229;3.9
2023;2;E-14327;230;4.2
2023;2;E-14327;231;3.2
2023;2;E-14327;232;6.4
2023;2;E-14327;233;5.3
2023;2;E-14327;234;5
2023;2;E-14327;235;3.5
2021;1;E-14328;201;6.5
2021;1;E-14328;202;3.3
2021;1;E-14328;203;5.4
2021;1;E-14328;204;4.2
2021;1;E-14328;205;4.1
2021;2;E-14328;206;4.3
2021;2;E-14328;207;5.6
2021;2;E-14328;208;6.6
2021;2;E-14328;209;4.6
2021;2;E-14328;210;4.6
2021;2;E-14328;211;4.2
2022;1;E-14328;212;5.5
2022;1;E-14328;213;5
2022;1;E-14328;214;5.6
2022;1;E-14328;215;3.9
2022;1;E-14328;216;6.9
2022;1;E-14328;217;4.2
2022;2;E-14328;218;6.5
2022;2;E-14328;219;6.7
2022;2;E-14328;220;3
2022;2;E-14328;221;3
2022;2;E-14328;222;5.2
2022;2;E-14328;223;6.1
2023;1;E-14328;224;4
2023;1;E-14328;225;4.5
2023;1;E-14328;226;4.8
2023;1;E-14328;227;3.7
2023;1;E-14328;228;6.4
2023;1;E-14328;229;3.6
2023;2;E-14328;230;5
2023;2;E-14328;231;4
2023;2;E-14328;232;3.8
2023;2;E-14328;233;5.4
2023;2;E-14328;234;6.2
2023;2;E-14328;235;4.8
2021;1;E-14329;201;4.8
2021;1;E-14329;202;5.3
2021;1;E-14329;203;3.1
2021;1;E-14329;204;5.6
2021;1;E-14329;205;5.2
2021;2;E-14329;206;5
